fiscal_year,entity,line_item,amount_usd,units,source_page,source_url
2003,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),19697,USD thousands,statements of activities,https://storage.accountingfoundation.org/FAF_2003_AR.pdf
2004,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),25355,USD thousands,statements of activities,https://storage.accountingfoundation.org/FAF_2005_AR.pdf
2005,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),20225,USD thousands,statements of activities,https://storage.accountingfoundation.org/FAF_2005_AR.pdf
2006,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),22436,USD thousands,statements of activities,https://storage.accountingfoundation.org/FAF_2006_AR.pdf
2007,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),22514,USD thousands,statements of activities,https://storage.accountingfoundation.org/FAF_2007_AR.pdf
2008,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),23710,USD thousands,statements of activities,https://storage.accountingfoundation.org/FAF_2008_AR.pdf
2009,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),28854,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2009,FAF combined (FAF+FASB+GASB),change in net assets,6467,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2009,FAF combined (FAF+FASB+GASB),contributions - FAF contributed services,236,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2009,FAF combined (FAF+FASB+GASB),contributions - GASB,1226,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2009,FAF combined (FAF+FASB+GASB),direct costs of subscriptions and publications,6291,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2009,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,3708,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2009,FAF combined (FAF+FASB+GASB),investment income - Supplemental Pension Plan,61,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2009,FAF combined (FAF+FASB+GASB),investment income - short-term,44,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2009,FAF combined (FAF+FASB+GASB),net assets at end of year,59394,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2009,FAF combined (FAF+FASB+GASB),net subscriptions and publications,8178,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2009,FAF combined (FAF+FASB+GASB),subscription and publication revenue (gross),14469,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2009,FAF combined (FAF+FASB+GASB),total contributions,1462,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
